"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","29,720.00","29,920.00","30,360.00","29,600.00","8.81M","-0.67%"
"12/30/2021","29,920.00","30,520.00","30,800.00","29,880.00","5.77M","-1.84%"
"12/29/2021","30,480.00","30,800.00","31,160.00","30,240.00","6.79M","-0.78%"
"12/28/2021","30,720.00","30,000.00","31,040.00","30,000.00","13.00M","2.95%"
"12/27/2021","29,840.00","29,440.00","30,360.00","28,800.00","11.15M","1.63%"
"12/24/2021","29,360.00","30,080.00","30,120.00","28,480.00","7.61M","-2.13%"
"12/23/2021","30,000.00","30,000.00","31,120.00","28,160.00","12.86M","0.00%"
"12/22/2021","30,000.00","29,160.00","30,920.00","29,160.00","12.17M","3.73%"
"12/21/2021","28,920.00","26,880.00","28,920.00","26,400.00","8.27M","6.95%"
"12/20/2021","27,040.00","27,800.00","27,800.00","26,720.00","4.85M","-2.45%"
"12/17/2021","27,720.00","28,440.00","28,520.00","27,720.00","4.91M","-2.53%"
"12/16/2021","28,440.00","28,840.00","29,040.00","28,200.00","4.99M","-1.25%"
"12/15/2021","28,800.00","28,760.00","29,320.00","28,480.00","5.27M","0.28%"
"12/14/2021","28,720.00","29,160.00","29,200.00","28,280.00","6.02M","-1.37%"
"12/13/2021","29,120.00","29,520.00","29,600.00","28,800.00","6.23M","-1.09%"
"12/10/2021","29,440.00","29,920.00","30,240.00","29,200.00","6.51M","-1.34%"
"12/09/2021","29,840.00","29,080.00","29,920.00","28,920.00","7.58M","2.61%"
"12/08/2021","29,080.00","28,800.00","29,440.00","28,800.00","9.54M","1.54%"
"12/07/2021","28,640.00","28,000.00","28,680.00","28,000.00","10.22M","3.92%"
"12/06/2021","27,560.00","29,280.00","29,600.00","27,560.00","6.94M","-6.89%"
"12/03/2021","29,600.00","31,000.00","31,240.00","29,600.00","4.94M","-4.39%"
"12/02/2021","30,960.00","30,800.00","31,120.00","30,720.00","4.11M","0.78%"
"12/01/2021","30,720.00","31,520.00","31,600.00","30,480.00","6.33M","-3.27%"
"11/30/2021","31,760.00","32,320.00","32,640.00","31,200.00","5.19M","-1.49%"
"11/29/2021","32,240.00","32,000.00","32,240.00","31,240.00","6.40M","-0.37%"
"11/26/2021","32,360.00","32,680.00","32,960.00","32,240.00","4.91M","-0.74%"
"11/25/2021","32,600.00","32,800.00","32,960.00","32,440.00","3.97M","-0.49%"
"11/24/2021","32,760.00","32,600.00","33,080.00","32,520.00","4.35M","0.61%"
"11/23/2021","32,560.00","32,480.00","33,120.00","32,120.00","5.02M","0.25%"
"11/22/2021","32,480.00","33,920.00","33,920.00","32,440.00","5.63M","-3.56%"
"11/19/2021","33,680.00","34,960.00","35,320.00","32,800.00","6.57M","-3.55%"
"11/18/2021","34,920.00","35,120.00","35,440.00","34,560.00","6.68M","-0.46%"
"11/17/2021","35,080.00","34,680.00","35,400.00","34,240.00","6.50M","1.27%"
"11/16/2021","34,640.00","35,680.00","35,680.00","34,320.00","7.02M","-3.13%"
"11/15/2021","35,760.00","36,360.00","36,400.00","35,280.00","6.52M","-1.54%"
"11/12/2021","36,320.00","36,000.00","36,600.00","35,600.00","16.66M","1.00%"
"11/11/2021","35,960.00","34,800.00","36,560.00","34,720.00","11.35M","3.33%"
"11/10/2021","34,800.00","33,600.00","35,400.00","33,200.00","8.72M","3.57%"
"11/09/2021","33,600.00","33,880.00","34,000.00","33,320.00","4.64M","-0.71%"
"11/08/2021","33,840.00","33,720.00","34,360.00","33,400.00","4.87M","0.24%"
"11/05/2021","33,760.00","33,160.00","34,200.00","32,800.00","5.49M","1.93%"
"11/04/2021","33,120.00","33,600.00","33,680.00","32,840.00","4.03M","-1.43%"
"11/03/2021","33,600.00","35,160.00","35,200.00","33,560.00","5.28M","-4.33%"
"11/02/2021","35,120.00","34,480.00","35,520.00","34,440.00","5.86M","2.33%"
"11/01/2021","34,320.00","33,680.00","34,400.00","33,680.00","6.19M","2.14%"
"10/29/2021","33,600.00","33,640.00","33,800.00","33,320.00","3.37M","0.00%"
"10/28/2021","33,600.00","33,600.00","33,920.00","33,120.00","3.93M","0.00%"
"10/27/2021","33,600.00","33,640.00","33,960.00","33,040.00","4.38M","0.00%"
